# cfgfile = demo_prep/IMAG/IMAG.2007.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M01,1.490753,1.6527816395518133e-05,26.566163315089767,-4.286147949275502e-05,False,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,-0.01017,1000.00995,-0.04136,0.0,0.0,0.0,-0.07718085500427845,-0.02005990784057944,0.011375894119713058,0.015201449572105638,0.0031657435238177747,-0.06429221923913253,1.1086891252620745e-05
1,S01,L01,M02,1.982369,2.4213576343904005e-06,47.73193920069116,-3.885801986267609e-05,False,4.667094,0.0,980.0,0.0,0.0,0.0,0.0,4.667094,-0.01138,980.00884,-0.04675,0.0,0.0,0.0,-0.07690621342243426,-0.02003563169369322,0.011327891070360975,0.01517602421178616,0.003158524514357032,-0.058287029794014136,1.2214464786275414e-06
2,S01,L01,M03,2.359569,-6.37675059827735e-06,55.59201372577472,-4.496579981676189e-05,False,9.334187,0.0,960.0,0.0,0.0,0.0,0.0,9.334187,-0.00941,960.01221,-0.05032,0.0,0.0,0.0,-0.07663153813760973,-0.020011355412370244,0.011279887562716345,0.015150597768335881,0.003151307566542151,-0.06744869972514284,-2.702506516349956e-06
3,S01,L01,M04,1.956245,1.3480223049782716e-05,47.031962654294034,-4.887958248573435e-05,False,14.001281,0.0,950.0,0.0,0.0,0.0,0.0,14.001281,-0.00986,950.00893,-0.04459,0.0,0.0,0.0,-0.07635682707657925,-0.01998707899369532,0.011231884024981901,0.015125170396594174,0.0031440922374478793,-0.07331937372860153,6.890866455777633e-06
4,S01,L01,M01,1.45141,1.1934684028484594e-05,23.268691854533216,-4.278863026717151e-05,False,18.668374,0.0,930.0,0.0,0.0,0.0,0.0,18.668374,-0.00716,930.00899,-0.03745,0.0,0.0,0.0,-0.07608207840154763,-0.019962802455559703,0.011183880926502403,0.01509974227319289,0.0031368780903337935,-0.06418294540075727,8.222820587211466e-06
5,S01,L01,M02,1.922112,-2.3992427158560222e-05,46.07759721862493,-3.880451020909789e-05,False,23.335468,0.0,910.0,0.0,0.0,0.0,0.0,23.335468,-0.011,910.01487,-0.02553,0.0,0.0,0.0,-0.07580729003925783,-0.019938525795048085,0.011135878695480753,0.015074313552970668,0.0031296646822758416,-0.05820676531364683,-1.248232525397075e-05
6,S01,L01,M03,2.293994,-2.9706253714769246e-05,54.46251304871171,-4.4789949679872076e-05,False,28.002562,0.0,900.0,0.0,0.0,0.0,0.0,28.002562,-0.01105,900.01308,-0.02839,0.0,0.0,0.0,-0.07553246009305642,-0.01991424902485012,0.011087877790976355,0.015048884407111305,0.0031224515749872527,-0.06718492451980812,-1.2949577773424537e-05
7,S01,L01,M04,1.897117,-2.097774866343652e-05,45.34563936844316,-4.8749730570420454e-05,False,32.669655,0.0,880.0,0.0,0.0,0.0,0.0,32.669655,-0.00992,880.01353,-0.02352,0.0,0.0,0.0,-0.0752575866663256,-0.019889972157655516,0.011039878672047445,0.015023455006798928,0.0031152383301809934,-0.07312459585563068,-1.105769895237696e-05
8,S01,L01,M01,1.417125,-2.828054048961987e-06,19.799814318814242,-4.269739891529389e-05,False,37.336749,0.0,860.0,0.0,0.0,0.0,0.0,37.336749,-0.00544,860.01274,-0.02966,0.0,0.0,0.0,-0.07498266768575496,-0.019865695190548868,0.010991881766898665,0.014998025506871659,0.0031080245049334054,-0.06404609837294084,-1.9956278020372142e-06
9,S01,L01,M02,1.872638,-1.5956316503850524e-05,44.60126242910249,-3.8659748224155285e-05,False,42.003843,0.0,850.0,0.0,0.0,0.0,0.0,42.003843,-0.00459,850.00974,-0.03218,0.0,0.0,0.0,-0.07470770125471708,-0.019841418136219872,0.010943887534588683,0.014972596078513601,0.0031008096609573773,-0.05798962233623293,-8.52076936591617e-06
10,S01,L01,M03,2.218691,-4.620831932762703e-05,53.06120896068691,-4.4670961708380626e-05,False,46.670936,0.0,830.0,0.0,0.0,0.0,0.0,46.670936,-0.00572,830.00886,-0.01666,0.0,0.0,0.0,-0.07443268547662533,-0.01981714100735831,0.010895896434173886,0.014947166892908793,0.0030935933599666753,-0.06700644256257093,-2.082683858528611e-05
11,S01,L01,M04,1.840856,-1.0787212103719252e-05,43.58848470214673,-4.86015136456325e-05,False,51.33803,0.0,810.0,0.0,0.0,0.0,0.0,51.33803,-0.00604,810.00872,-0.02801,0.0,0.0,0.0,-0.07415761827810827,-0.01979286380104864,0.010847908893862349,0.014921738104895443,0.0030863751590363272,-0.07290227046844876,-5.859889151416109e-06
12,S01,L01,M01,1.392067,5.318137186887399e-06,16.70007913843844,-4.251574288396539e-05,False,56.005123,0.0,800.0,0.0,0.0,0.0,0.0,56.005123,-0.00449,800.01017,-0.03295,0.0,0.0,0.0,-0.07388249782152322,-0.01976858653518243,0.010799925382991939,0.014896309891105986,0.0030791546214271365,-0.06377361432594808,3.820316972449889e-06
13,S01,L01,M02,1.817662,-2.625019797723927e-05,42.81559338829126,-3.8570690983638795e-05,False,60.672217,0.0,780.0,0.0,0.0,0.0,0.0,60.672217,-0.00462,780.00949,-0.02215,0.0,0.0,0.0,-0.07360732203345396,-0.019744309206844113,0.010751946329773996,0.01487088240637906,0.0030719313042123194,-0.05785603647545819,-1.4441737780312991e-05
