# cfgfile = demo_res/IMAG//lambda/IMAG.2005.kaiyo_k4_L-01.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M01,1.490719,1.1642922022810973e-05,26.564646914948156,-3.3884425280678043e-06,False,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.00369,999.98393,-0.004,0.0,0.0,0.0,0.0019837707810481118,0.00981608585511899,-0.00977975059887493,0.0029887373504687946,0.005387727696308087,-0.0050826637921017066,7.810272776298532e-06
1,S01,L01,M02,1.982319,-2.5554499965258243e-06,47.73102489524459,-4.052633922353401e-06,False,4.667094,0.0,980.0,0.0,0.0,0.0,0.0,4.667094,0.00226,979.98957,0.00027,0.0,0.0,0.0,0.0019510492663667954,0.009788718102781242,-0.009735011214557936,0.0029817981297202345,0.005400548368819988,-0.006078950883530101,-1.2891214766774794e-06
2,S01,L01,M03,2.359496,-1.815605162007536e-05,55.59160533505079,-6.714388051287403e-06,False,9.334187,0.0,960.0,0.0,0.0,0.0,0.0,9.334187,0.00215,959.9876,0.00741,0.0,0.0,0.0,0.0019183320059527023,0.00976135032028447,-0.009690269908759937,0.002974859406100512,0.005413369406678372,-0.010071582076931105,-7.694885526432493e-06
3,S01,L01,M04,1.956172,-2.15252523355369e-05,47.03123631272271,-5.828121136622811e-06,False,14.001281,0.0,950.0,0.0,0.0,0.0,0.0,14.001281,-0.00347,949.9854,0.01499,0.0,0.0,0.0,0.00188561477654223,0.009733982496290716,-0.009645527108303503,0.0029679210927706467,0.005426190682348763,-0.008742181704934217,-1.1003762621863977e-05
4,S01,L01,M01,1.451381,7.60916009079732e-06,23.267186376162414,-2.8912355881758926e-06,False,18.668374,0.0,930.0,0.0,0.0,0.0,0.0,18.668374,0.00105,929.9831,0.00195,0.0,0.0,0.0,0.0018528933829137703,0.009706614642918004,-0.009600783278357908,0.0029609831088384434,0.005439012057308177,-0.0043368533822638385,5.242703391319936e-06
5,S01,L01,M02,1.922085,8.03689595405108e-06,46.0768731327895,-3.5862278589605143e-06,False,23.335468,0.0,910.0,0.0,0.0,0.0,0.0,23.335468,-6e-05,909.98244,-0.00255,0.0,0.0,0.0,0.0018201636018019497,0.009679246748828352,-0.009556038845744635,0.002954045367465237,0.005451833404022278,-0.005379341788440771,4.1813426326364755e-06
6,S01,L01,M03,2.29395,1.3646687050850316e-06,54.462554355354015,-6.323723514375276e-06,False,28.002562,0.0,900.0,0.0,0.0,0.0,0.0,28.002562,0.00373,899.98431,-0.00662,0.0,0.0,0.0,0.0017874212309733097,0.009651878820275793,-0.009511294266046433,0.002947107786272109,0.0054646545867151645,-0.009485585271562914,5.948990627890893e-07
7,S01,L01,M04,1.897088,5.0309227101816775e-06,45.345439232129735,-5.350989183287001e-06,False,32.669655,0.0,880.0,0.0,0.0,0.0,0.0,32.669655,0.00379,879.98101,-0.00254,0.0,0.0,0.0,0.001754662068205179,0.00962451086351438,-0.00946654999484616,0.0029401702828800026,0.005477475469611072,-0.008026483774930503,2.651918471985315e-06
8,S01,L01,M01,1.417102,4.050338260059939e-07,19.798190913421422,-2.4107743415055248e-06,False,37.336749,0.0,860.0,0.0,0.0,0.0,0.0,37.336749,0.00803,859.97872,0.0053,0.0,0.0,0.0,0.0017218818902160012,0.009597142867206096,-0.00942180645896512,0.002933232770450461,0.005490295925175463,-0.003616161512258287,2.8581839980890145e-07
9,S01,L01,M02,1.872609,1.1585352302044344e-05,44.60052062198994,-3.1991497673661056e-06,False,42.003843,0.0,850.0,0.0,0.0,0.0,0.0,42.003843,0.0085,849.97916,-0.00839,0.0,0.0,0.0,0.0016890764947790553,0.00956977483760499,-0.009377064113986292,0.0029262951666044336,0.005503115817632497,-0.004798724651049158,6.186743896907654e-06
10,S01,L01,M03,2.218659,5.387440220453843e-07,53.06133265301126,-5.885326847146332e-06,False,46.670936,0.0,830.0,0.0,0.0,0.0,0.0,46.670936,0.00493,829.97565,-0.00351,0.0,0.0,0.0,0.0016562416796892336,0.009542406780965138,-0.009332323415491632,0.002919357388962949,0.005515935011206812,-0.008827990270719498,2.4282416632992465e-07
11,S01,L01,M04,1.840844,3.653227060293711e-05,43.58836694658507,-4.890802568247879e-06,False,51.33803,0.0,810.0,0.0,0.0,0.0,0.0,51.33803,0.00349,809.97186,-0.01602,0.0,0.0,0.0,0.0016233732216325606,0.009515038685948473,-0.009287584790303968,0.0029124193506874347,0.005528753378363146,-0.0073362038523718184,1.984539189792134e-05
12,S01,L01,M01,1.392065,3.656440457009423e-05,16.698535747506185,-2.008955109967475e-06,False,56.005123,0.0,800.0,0.0,0.0,0.0,0.0,56.005123,0.00274,799.97324,-0.01253,0.0,0.0,0.0,0.0015904669254522311,0.009487670564673138,-0.009242848703590784,0.0029054809708855735,0.005541570780579752,-0.0030134326649512125,2.6266305503043486e-05
13,S01,L01,M02,1.817656,3.073432903327342e-05,42.815091819750876,-2.7654442865751122e-06,False,60.672217,0.0,780.0,0.0,0.0,0.0,0.0,60.672217,0.00168,779.97497,-0.0159,0.0,0.0,0.0,0.0015575185678036393,0.009460302405801037,-0.009198115582176897,0.0028985421627185353,0.005554387090320606,-0.004148166429862668,1.6908770984869204e-05
