# cfgfile = demo_res/IMAG//lambda/IMAG.2012.kaiyo_k4_L-01.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M01,1.490694,1.4246108462045215e-08,26.56462401559091,2.3119797239358948e-05,False,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,-0.00259,1000.00448,0.02041,0.0,0.0,0.0,0.012445347371915797,0.018466044960629723,0.014184789043046306,-0.0003641458843383308,0.01579363127162621,0.03467969585903842,9.556695379497882e-09
1,S01,L01,M02,1.982309,8.785001714285973e-06,47.73076438330355,1.7513794857023503e-05,False,4.667094,0.0,980.0,0.0,0.0,0.0,0.0,4.667094,-0.00203,980.00717,0.02081,0.0,0.0,0.0,0.01240577915750666,0.01843529753648001,0.014178785835281506,-0.0003656290332342071,0.015785476491915185,0.026270692285535253,4.431701472518146e-06
2,S01,L01,M03,2.359495,6.296326341159396e-06,55.59135617641597,1.2157133236290977e-05,False,9.334187,0.0,960.0,0.0,0.0,0.0,0.0,9.334187,-0.00559,960.00632,0.02521,0.0,0.0,0.0,0.012366178877608528,0.018404549955162774,0.014172784530869434,-0.00036711199200413193,0.015777321672459734,0.018235699854436467,2.6685059053566107e-06
3,S01,L01,M04,1.956164,1.7816012554332068e-06,47.0311832066667,1.741427777443541e-05,False,14.001281,0.0,950.0,0.0,0.0,0.0,0.0,14.001281,-0.00239,950.00462,0.02039,0.0,0.0,0.0,0.012326544909124671,0.01837380221295633,0.014166784645515556,-0.00036859483555183126,0.01576916687986054,0.026121416661653116,9.107627251259132e-07
4,S01,L01,M01,1.451358,-8.174483493005334e-07,23.2674352548149,2.2325945774070006e-05,False,18.668374,0.0,930.0,0.0,0.0,0.0,0.0,18.668374,-0.00277,930.00865,0.0175,0.0,0.0,0.0,0.012286875662913282,0.01834305433249178,0.014160785700068398,-0.0003700776375100686,0.0157610121877075,0.03348891866110501,-5.632299882596392e-07
5,S01,L01,M02,1.922072,1.1036720774084363e-05,46.07667850611472,1.672931464499414e-05,False,23.335468,0.0,910.0,0.0,0.0,0.0,0.0,23.335468,-0.00299,910.00477,0.01742,0.0,0.0,0.0,0.012247169515848077,0.018312306310047315,0.014154787210234415,-0.0003715604727825025,0.015752857662601344,0.02509397196749121,5.742095391891855e-06
6,S01,L01,M03,2.293952,2.57658976504703e-05,54.46233521094743,1.1480330951224127e-05,False,28.002562,0.0,900.0,0.0,0.0,0.0,0.0,28.002562,-0.00629,900.00298,0.0091,0.0,0.0,0.0,0.012207424870298002,0.01828155816166583,0.014148788695576226,-0.000373043415319661,0.01574470337638469,0.01722049642683619,1.1232099734637124e-05
7,S01,L01,M04,1.897073,1.3104219381577207e-05,45.34526740389518,1.6634605157584556e-05,False,32.669655,0.0,880.0,0.0,0.0,0.0,0.0,32.669655,-0.00548,880.00661,0.01211,0.0,0.0,0.0,0.012167640128664982,0.01825080990339033,0.014142789675656419,-0.00037452653907197995,0.015736549400899927,0.024951907736376833,6.907598907146539e-06
8,S01,L01,M01,1.417098,1.4633495181457759e-05,19.79857021523381,2.153386180164965e-05,False,37.336749,0.0,860.0,0.0,0.0,0.0,0.0,37.336749,-0.0098,860.00375,0.01163,0.0,0.0,0.0,0.012127813667773265,0.018220061531498875,0.014136789666181477,-0.0003760099189432564,0.015728395802748138,0.032300792702474476,1.032638193085994e-05
9,S01,L01,M02,1.872605,1.597178299714603e-05,44.60036916535316,1.6040853177412642e-05,False,42.003843,0.0,850.0,0.0,0.0,0.0,0.0,42.003843,-0.00584,850.00161,0.01528,0.0,0.0,0.0,0.01208794389001601,0.018189313062034425,0.01413078818671383,-0.00037749362888397285,0.01572024265377177,0.024061279766118965,8.52917886962068e-06
