# cfgfile = ./initcfg/IMAG/IMAG.1911.kaiyo_k4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,dSV0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dSV1,flag
0,S01,L01,M01,2.981424,,,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,False
1,S01,L01,M02,3.938392,,,9.413291,0.0,1930.0,0.0,0.0,0.0,0.0,0.0,9.413291,0.0,1930.0,0.0,0.0,0.0,0.0,0.0,False
2,S01,L01,M03,4.653238,,,18.826581,0.0,1860.0,0.0,0.0,0.0,0.0,0.0,18.826581,0.0,1860.0,0.0,0.0,0.0,0.0,0.0,False
3,S01,L01,M04,3.827387,,,28.239872,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,28.239872,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,False
4,S01,L01,M01,2.838748,,,37.653162,0.0,1730.0,0.0,0.0,0.0,0.0,0.0,37.653162,0.0,1730.0,0.0,0.0,0.0,0.0,0.0,False
5,S01,L01,M02,3.713184,,,47.066453,0.0,1660.0,0.0,0.0,0.0,0.0,0.0,47.066453,0.0,1660.0,0.0,0.0,0.0,0.0,0.0,False
6,S01,L01,M03,4.373659,,,56.479743,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,56.479743,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,False
7,S01,L01,M04,3.612546,,,65.893034,0.0,1530.0,0.0,0.0,0.0,0.0,0.0,65.893034,0.0,1530.0,0.0,0.0,0.0,0.0,0.0,False
8,S01,L01,M01,2.736291,,,75.306324,0.0,1460.0,0.0,0.0,0.0,0.0,0.0,75.306324,0.0,1460.0,0.0,0.0,0.0,0.0,0.0,False
9,S01,L01,M02,3.517575,,,84.719615,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,84.719615,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,False
10,S01,L01,M03,4.094202,,,94.132905,0.0,1330.0,0.0,0.0,0.0,0.0,0.0,94.132905,0.0,1330.0,0.0,0.0,0.0,0.0,0.0,False
11,S01,L01,M04,3.422176,,,103.546196,0.0,1260.0,0.0,0.0,0.0,0.0,0.0,103.546196,0.0,1260.0,0.0,0.0,0.0,0.0,0.0,False
12,S01,L01,M01,2.679967,,,112.959486,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,112.959486,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,False
