# cfgfile = ./initcfg/IMAG/IMAG.2411.kaiyo_k4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,dSV0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dSV1,flag
0,S01,L01,M01,1.49076,,,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00268,999.99148,-0.0467,0.0,0.0,0.0,0.0,False
1,S01,L01,M02,1.982348,,,4.667094,0.0,980.0,0.0,0.0,0.0,0.0,0.0,4.667094,3e-05,979.99471,-0.03452,0.0,0.0,0.0,0.0,False
2,S01,L01,M03,2.359548,,,9.334187,0.0,960.0,0.0,0.0,0.0,0.0,0.0,9.334187,-0.00521,959.99628,-0.03926,0.0,0.0,0.0,0.0,False
3,S01,L01,M04,1.956247,,,14.001281,0.0,950.0,0.0,0.0,0.0,0.0,0.0,14.001281,-0.00417,949.99579,-0.04785,0.0,0.0,0.0,0.0,False
4,S01,L01,M01,1.451422,,,18.668374,0.0,930.0,0.0,0.0,0.0,0.0,0.0,18.668374,-0.004,929.9926,-0.04599,0.0,0.0,0.0,0.0,False
5,S01,L01,M02,1.922111,,,23.335468,0.0,910.0,0.0,0.0,0.0,0.0,0.0,23.335468,-0.00212,909.99482,-0.0362,0.0,0.0,0.0,0.0,False
6,S01,L01,M03,2.293979,,,28.002562,0.0,900.0,0.0,0.0,0.0,0.0,0.0,28.002562,-0.00499,899.99345,-0.02586,0.0,0.0,0.0,0.0,False
7,S01,L01,M04,1.897115,,,32.669655,0.0,880.0,0.0,0.0,0.0,0.0,0.0,32.669655,-0.00226,879.99338,-0.02317,0.0,0.0,0.0,0.0,False
8,S01,L01,M01,1.417129,,,37.336749,0.0,860.0,0.0,0.0,0.0,0.0,0.0,37.336749,0.001,859.99016,-0.02601,0.0,0.0,0.0,0.0,False
9,S01,L01,M02,1.872618,,,42.003843,0.0,850.0,0.0,0.0,0.0,0.0,0.0,42.003843,0.00526,849.99538,-0.01794,0.0,0.0,0.0,0.0,False
10,S01,L01,M03,2.218679,,,46.670936,0.0,830.0,0.0,0.0,0.0,0.0,0.0,46.670936,0.00436,829.99812,-0.01714,0.0,0.0,0.0,0.0,False
11,S01,L01,M04,1.840856,,,51.33803,0.0,810.0,0.0,0.0,0.0,0.0,0.0,51.33803,0.00675,809.99701,-0.0329,0.0,0.0,0.0,0.0,False
12,S01,L01,M01,1.392063,,,56.005123,0.0,800.0,0.0,0.0,0.0,0.0,0.0,56.005123,0.00987,799.99608,-0.03342,0.0,0.0,0.0,0.0,False
13,S01,L01,M02,1.817648,,,60.672217,0.0,780.0,0.0,0.0,0.0,0.0,0.0,60.672217,0.00736,779.99633,-0.01869,0.0,0.0,0.0,0.0,False
14,S01,L01,M03,2.144824,,,65.339311,0.0,760.0,0.0,0.0,0.0,0.0,0.0,65.339311,0.00509,759.99879,-0.02759,0.0,0.0,0.0,0.0,False
15,S01,L01,M04,1.795085,,,70.006404,0.0,750.0,0.0,0.0,0.0,0.0,0.0,70.006404,0.00487,749.99576,-0.02689,0.0,0.0,0.0,0.0,False
16,S01,L01,M01,1.368176,,,74.673498,0.0,730.0,0.0,0.0,0.0,0.0,0.0,74.673498,0.00529,729.99378,-0.03682,0.0,0.0,0.0,0.0,False
17,S01,L01,M02,1.765916,,,79.340592,0.0,710.0,0.0,0.0,0.0,0.0,0.0,79.340592,0.00647,709.99963,-0.03339,0.0,0.0,0.0,0.0,False
18,S01,L01,M03,2.08276,,,84.007685,0.0,700.0,0.0,0.0,0.0,0.0,0.0,84.007685,0.00193,699.99572,-0.03223,0.0,0.0,0.0,0.0,False
19,S01,L01,M04,1.744809,,,88.674779,0.0,680.0,0.0,0.0,0.0,0.0,0.0,88.674779,0.00585,679.99659,-0.02474,0.0,0.0,0.0,0.0,False
