# cfgfile = ./initcfg/IMAG/IMAG.1901.kaiyo_k4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,dSV0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dSV1,flag
0,S01,L01,M01,1.490705,,,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,False
1,S01,L01,M02,1.964836,,,9.413291,0.0,960.0,0.0,0.0,0.0,0.0,0.0,9.413291,0.0,960.0,0.0,0.0,0.0,0.0,0.0,False
2,S01,L01,M03,2.326614,,,18.826581,0.0,930.0,0.0,0.0,0.0,0.0,0.0,18.826581,0.0,930.0,0.0,0.0,0.0,0.0,0.0,False
3,S01,L01,M04,1.913689,,,28.239872,0.0,900.0,0.0,0.0,0.0,0.0,0.0,28.239872,0.0,900.0,0.0,0.0,0.0,0.0,0.0,False
4,S01,L01,M01,1.417098,,,37.653162,0.0,860.0,0.0,0.0,0.0,0.0,0.0,37.653162,0.0,860.0,0.0,0.0,0.0,0.0,0.0,False
5,S01,L01,M02,1.856578,,,47.066453,0.0,830.0,0.0,0.0,0.0,0.0,0.0,47.066453,0.0,830.0,0.0,0.0,0.0,0.0,0.0,False
6,S01,L01,M03,2.18682,,,56.479743,0.0,800.0,0.0,0.0,0.0,0.0,0.0,56.479743,0.0,800.0,0.0,0.0,0.0,0.0,0.0,False
7,S01,L01,M04,1.802506,,,65.893034,0.0,760.0,0.0,0.0,0.0,0.0,0.0,65.893034,0.0,760.0,0.0,0.0,0.0,0.0,0.0,False
8,S01,L01,M01,1.368131,,,75.306324,0.0,730.0,0.0,0.0,0.0,0.0,0.0,75.306324,0.0,730.0,0.0,0.0,0.0,0.0,0.0,False
9,S01,L01,M02,1.75877,,,84.719615,0.0,700.0,0.0,0.0,0.0,0.0,0.0,84.719615,0.0,700.0,0.0,0.0,0.0,0.0,0.0,False
10,S01,L01,M03,2.042033,,,94.132905,0.0,660.0,0.0,0.0,0.0,0.0,0.0,94.132905,0.0,660.0,0.0,0.0,0.0,0.0,0.0,False
11,S01,L01,M04,1.711074,,,103.546196,0.0,630.0,0.0,0.0,0.0,0.0,0.0,103.546196,0.0,630.0,0.0,0.0,0.0,0.0,0.0,False
12,S01,L01,M01,1.33997,,,112.959486,0.0,600.0,0.0,0.0,0.0,0.0,0.0,112.959486,0.0,600.0,0.0,0.0,0.0,0.0,0.0,False
13,S01,L01,M02,1.667238,,,122.372777,0.0,560.0,0.0,0.0,0.0,0.0,0.0,122.372777,0.0,560.0,0.0,0.0,0.0,0.0,0.0,False
14,S01,L01,M03,1.914102,,,131.786067,0.0,530.0,0.0,0.0,0.0,0.0,0.0,131.786067,0.0,530.0,0.0,0.0,0.0,0.0,0.0,False
15,S01,L01,M04,1.632986,,,141.199358,0.0,500.0,0.0,0.0,0.0,0.0,0.0,141.199358,0.0,500.0,0.0,0.0,0.0,0.0,0.0,False
16,S01,L01,M01,1.334396,,,150.612648,0.0,460.0,0.0,0.0,0.0,0.0,0.0,150.612648,0.0,460.0,0.0,0.0,0.0,0.0,0.0,False
17,S01,L01,M02,1.597151,,,160.025939,0.0,430.0,0.0,0.0,0.0,0.0,0.0,160.025939,0.0,430.0,0.0,0.0,0.0,0.0,0.0,False
18,S01,L01,M03,1.793795,,,169.439229,0.0,400.0,0.0,0.0,0.0,0.0,0.0,169.439229,0.0,400.0,0.0,0.0,0.0,0.0,0.0,False
19,S01,L01,M04,1.56608,,,178.85252,0.0,360.0,0.0,0.0,0.0,0.0,0.0,178.85252,0.0,360.0,0.0,0.0,0.0,0.0,0.0,False
20,S01,L01,M01,1.352451,,,188.26581,0.0,330.0,0.0,0.0,0.0,0.0,0.0,188.26581,0.0,330.0,0.0,0.0,0.0,0.0,0.0,False
21,S01,L01,M02,1.543434,,,197.679101,0.0,300.0,0.0,0.0,0.0,0.0,0.0,197.679101,0.0,300.0,0.0,0.0,0.0,0.0,0.0,False
22,S01,L01,M03,1.674687,,,207.092391,0.0,260.0,0.0,0.0,0.0,0.0,0.0,207.092391,0.0,260.0,0.0,0.0,0.0,0.0,0.0,False
23,S01,L01,M04,1.521914,,,216.505682,0.0,230.0,0.0,0.0,0.0,0.0,0.0,216.505682,0.0,230.0,0.0,0.0,0.0,0.0,0.0,False
24,S01,L01,M01,1.392034,,,225.918972,0.0,200.0,0.0,0.0,0.0,0.0,0.0,225.918972,0.0,200.0,0.0,0.0,0.0,0.0,0.0,False
